id,game,url,rating,category,release_date,platforms,genres,themes,companies,description
14805,Painkiller: Black Edition,https://www.igdb.com/g/bf9,7.019261734621137,Bundle,"[""Apr 12, 2004 (Worldwide [WW])""]","[""PC (Microsoft Windows)""]","[""Adventure"", ""Shooter""]","[""Action"", ""Horror""]","[""Nordic Games Publishing"", ""People Can Fly""]",
1836,Painkiller: Overdose,https://www.igdb.com/g/1f0,6.790137207285384,Standalone Expansion,"[""Nov 23, 2007 (Europe [EU])"", ""Oct 26, 2007 (North America [NA])"", ""Oct 30, 2007 (Worldwide [WW])""]","[""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Horror""]","[""DreamCatcher Interactive"", ""Mindware Studios"", ""JoWooD Productions Software""]",
1837,Painkiller: Resurrection,https://www.igdb.com/g/1f1,3.4444005362468326,Standalone Expansion,"[""Oct 27, 2009 (Worldwide [WW])""]","[""PC (Microsoft Windows)""]","[""Shooter""]","[""Action"", ""Horror"", ""Science fiction"", ""Survival""]","[""JoWooD Entertainment AG"", ""Homegrown Games"", ""DreamCatcher Interactive""]",
1838,Painkiller: Redemption,https://www.igdb.com/g/1f2,3.632707320561425,Standalone Expansion,"[""Feb 25, 2011 ()"", ""Feb 25, 2011 ()""]","[""PC (Microsoft Windows)"", ""Linux""]","[""Shooter""]","[""Action"", ""Horror""]","[""DreamCatcher Interactive"", ""Homegrown Games"", ""Eggtooth""]",
8040,Poker Night at the Inventory,https://www.igdb.com/g/67c,6.914362064966851,Main Game,"[""Nov 22, 2010 (Worldwide [WW])"", ""Nov 22, 2010 (Worldwide [WW])""]","[""Mac"", ""PC (Microsoft Windows)""]","[""Card & Board Game"", ""Indie"", ""Sport"", ""Tactical"", ""Turn-based strategy (TBS)""]","[""Comedy"", ""Party""]","[""Telltale Games""]",
71,Portal,https://www.igdb.com/g/1z,8.641545065384143,Main Game,"[""Jun 28, 2022 (Worldwide [WW])"", ""Oct 25, 2007 (Australia [AU])"", ""May 12, 2014 (Worldwide [WW])"", ""May 02, 2013 (Worldwide [WW])"", ""May 12, 2010 (Worldwide [WW])"", ""Oct 18, 2007 (Europe [EU])"", ""Oct 10, 2007 (North America [NA])"", ""Oct 25, 2007 (Australia [AU])"", ""Oct 10, 2007 (North America [NA])"", ""Oct 18, 2007 (Europe [EU])"", ""Nov 23, 2007 (Europe [EU])"", ""Dec 11, 2007 (North America [NA])"", ""Nov 22, 2007 (Australia [AU])""]","[""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Android"", ""Nintendo Switch"", ""Xbox 360"", ""Linux""]","[""Adventure"", ""Platform"", ""Puzzle""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Valve"", ""Electronic Arts""]",
72,Portal 2,https://www.igdb.com/g/20,9.132837693705135,Main Game,"[""Apr 22, 2011 (Europe [EU])"", ""Apr 22, 2011 (Australia [AU])"", ""Apr 18, 2011 (Worldwide [WW])"", ""Jun 28, 2022 (Worldwide [WW])"", ""Feb 26, 2014 (Worldwide [WW])"", ""Apr 20, 2011 (North America [NA])"", ""Apr 18, 2011 (Worldwide [WW])"", ""Apr 20, 2011 (North America [NA])"", ""Apr 22, 2011 (Europe [EU])"", ""Apr 22, 2011 (Australia [AU])""]","[""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Nintendo Switch"", ""Xbox 360"", ""Linux""]","[""Adventure"", ""Platform"", ""Puzzle""]","[""Action"", ""Comedy"", ""Science fiction""]","[""Valve"", ""Electronic Arts""]",
2438,Prince of Persia,https://www.igdb.com/g/1vq,7.7203937306122805,Main Game,"[""Dec 09, 2008 (North America [NA])"", ""Dec 02, 2008 (North America [NA])"", ""Dec 05, 2008 (Europe [EU])"", ""Dec 12, 2008 (Europe [EU])"", ""Dec 11, 2008 (Australia [AU])"", ""Dec 05, 2008 (Europe [EU])"", ""Mar 24, 2009 (Worldwide [WW])"", ""Dec 04, 2008 (Australia [AU])"", ""Dec 02, 2008 (North America [NA])"", ""Dec 04, 2008 (Australia [AU])""]","[""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""Xbox 360""]","[""Adventure"", ""Platform"", ""Puzzle""]","[""Action"", ""Historical""]","[""Ubisoft Montreal"", ""Ubisoft Entertainment""]",
836,Prince of Persia: The Sands of Time,https://www.igdb.com/g/n8,8.184762799680126,Main Game,"[""Dec 05, 2003 (Europe [EU])"", ""Nov 21, 2008 (Worldwide [WW])"", ""Nov 18, 2003 (North America [NA])"", ""Nov 11, 2003 (North America [NA])"", ""Nov 11, 2003 (North America [NA])"", ""Nov 21, 2003 (Europe [EU])"", ""Nov 16, 2010 (Worldwide [WW])"", ""Feb 20, 2004 (Europe [EU])"", ""Feb 20, 2004 (Europe [EU])"", ""Dec 02, 2003 (North America [NA])"", ""Sep 02, 2004 (Japan [JP])""]","[""Nintendo GameCube"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""PlayStation 2"", ""Xbox""]","[""Adventure"", ""Platform"", ""Puzzle""]","[""Action"", ""Fantasy""]","[""Ubisoft Montreal"", ""Ubisoft Entertainment""]",
837,Prince of Persia: Warrior Within,https://www.igdb.com/g/n9,8.22028097671806,Main Game,"[""Nov 21, 2008 (Worldwide [WW])"", ""Dec 03, 2004 (Europe [EU])"", ""Jun 03, 2010 (Worldwide [WW])"", ""Dec 03, 2004 (Europe [EU])"", ""Dec 03, 2004 (Europe [EU])"", ""Nov 30, 2004 (North America [NA])"", ""Oct 13, 2005 (Japan [JP])"", ""Nov 30, 2004 (North America [NA])"", ""Nov 30, 2004 (North America [NA])"", ""Nov 30, 2004 (North America [NA])"", ""Dec 03, 2004 (Europe [EU])""]","[""Nintendo GameCube"", ""PC (Microsoft Windows)"", ""iOS"", ""PlayStation 2"", ""Xbox""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Platform""]","[""Action""]","[""Ubisoft Montreal"", ""Ubisoft Entertainment""]",
22565,Prince of Persia: Revelations,https://www.igdb.com/g/het,5.89104179917112,Port,"[""Dec 06, 2005 (North America [NA])"", ""Dec 16, 2005 (Europe [EU])""]","[""PlayStation Portable""]","[""Hack and slash/Beat 'em up"", ""Platform""]","[""Action""]","[""Pipeworks Software"", ""Ubisoft Montreal""]",
2437,Prince of Persia: The Two Thrones,https://www.igdb.com/g/1vp,7.999147808078701,Main Game,"[""Dec 01, 2005 (North America [NA])"", ""Dec 16, 2010 (Worldwide [WW])"", ""Nov 21, 2008 (Worldwide [WW])"", ""Dec 09, 2005 (Europe [EU])"", ""Oct 06, 2008 (Worldwide [WW])"", ""Dec 01, 2005 (North America [NA])"", ""Dec 01, 2005 (North America [NA])"", ""Dec 09, 2005 (Europe [EU])"", ""Dec 01, 2005 (North America [NA])"", ""Dec 09, 2005 (Europe [EU])"", ""Dec 02, 2005 (Europe [EU])""]","[""Nintendo GameCube"", ""Mac"", ""PlayStation 3"", ""PC (Microsoft Windows)"", ""PlayStation 2"", ""Xbox""]","[""Adventure"", ""Hack and slash/Beat 'em up"", ""Platform""]","[""Action"", ""Fantasy"", ""Stealth""]","[""Ubisoft Entertainment"", ""TransGaming Inc."", ""Ubisoft Casablanca"", ""Ubisoft Montreal""]",
